time,s0,s1,s2,s3,s4,s5,s6,s7
0.0,0.0,0.0,2.7786434,0.0,0.0,0.0,0.18770298,1.1091259
0.02,0.0,0.0,8.7787104,0.0,0.0,0.0,0.46490887,1.107998
0.04,0.0,0.0,5.3244314,0.0,0.0,0.0,0.30597809,1.107998
0.06,0.0,0.0,-13.761815,0.0,0.0,0.0,-0.5499828,1.1047834
0.08,0.0,0.0,-11.544732,0.0,0.0,0.0,-0.45850827,1.1047834
0.1,0.0,0.0,3.9301698,0.0,0.0,0.0,0.24602501,1.1014622
0.12,0.0,0.0,9.4979143,0.0,0.0,0.0,0.49862664,1.1014622
0.14,0.0,0.0,8.7862301,0.0,0.0,0.0,0.46705189,1.0975822
0.16,0.0,0.0,-32.402172,0.0,0.0,0.0,-1.3150383,1.0975822
0.18,0.0,0.0,9.5615463,0.0,0.0,0.0,0.50492462,1.0931928
0.2,0.0,0.0,15.511452,0.0,0.0,0.0,0.78103336,1.0931928
0.22,0.0,0.0,16.201117,0.0,0.0,0.0,0.81412522,1.0892887
0.24,0.0,0.0,16.877697,0.0,0.0,0.0,0.8455793,1.0892887
0.26,0.0,0.0,14.90556,0.0,0.0,0.0,0.7541671,1.0864735
0.28,0.0,0.0,16.184458,0.0,0.0,0.0,0.81403305,1.0864735
0.3,0.0,0.0,16.123285,0.0,0.0,0.0,0.81134857,1.0847865
0.32,0.0,0.0,14.041934,0.0,0.0,0.0,0.71429028,1.0847865
0.34,0.0,0.0,15.311352,0.0,0.0,0.0,0.77285938,1.0856197
0.36,0.0,0.0,15.087917,0.0,0.0,0.0,0.76160412,1.0856197
0.38,0.0,0.0,14.678976,0.0,0.0,0.0,0.74248906,1.0890195
0.4,0.0,0.0,6.2193956,0.0,0.0,0.0,0.35088368,1.0890195
0.42,0.0,0.0,-51.133198,0.0,0.0,0.0,-2.1807955,1.0917852
0.44,0.0,0.0,-16.489388,0.0,0.0,0.0,-0.6794579,1.0917852
0.46,0.0,0.0,-5.1986475,0.0,0.0,0.0,-0.16657386,1.0932463
0.48,0.0,0.0,-1.0978962,0.0,0.0,0.0,0.016958851,1.0932463
0.5,0.0,0.0,0.012776285,0.0,0.0,0.0,0.060576888,1.0915964
0.52,0.0,0.0,-19.094259,0.0,0.0,0.0,-0.78558162,1.0915964
0.54,0.0,0.0,-11.63414,0.0,0.0,0.0,-0.46387311,1.0896174
0.56,0.0,0.0,3.6668465,0.0,0.0,0.0,0.22836283,1.0896174
0.58,0.0,0.0,3.0814652,0.0,0.0,0.0,0.2044516,1.0887154
0.6,0.0,0.0,-1.8121793,0.0,0.0,0.0,-0.014558753,1.0887154
0.62,0.0,0.0,-10.149674,0.0,0.0,0.0,-0.38724432,1.088321
0.64,0.0,0.0,5.5183086,0.0,0.0,0.0,0.31488505,1.088321
0.66,0.0,0.0,14.261727,0.0,0.0,0.0,0.71803782,1.0903559
0.68,0.0,0.0,13.636243,0.0,0.0,0.0,0.68860934,1.0903559
0.7,0.0,0.0,12.506259,0.0,0.0,0.0,0.6361664,1.0954866
0.72,0.0,0.0,13.464266,0.0,0.0,0.0,0.6811188,1.0954866
0.74,0.0,0.0,13.383424,0.0,0.0,0.0,0.6783485,1.0993694
0.76,0.0,0.0,9.8748112,0.0,0.0,0.0,0.51602932,1.0993694
0.78,0.0,0.0,5.9703522,0.0,0.0,0.0,0.33873121,1.1025795
0.8,0.0,0.0,-3.2121141,0.0,0.0,0.0,-0.083980158,1.1025795
