time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,-4.0149517,0.0,0.0,0.31840625,0.0,-0.099380637,1.0834757
0.02,0.0,0.0,-27.067284,0.0,0.0,1.6628428,0.0,-1.099967,1.0843469
0.04,0.0,0.0,-60.155216,0.0,0.0,3.5909523,0.0,-2.536255,1.0843469
0.06,0.0,0.0,-86.0065,0.0,0.0,5.1471964,0.0,-3.6294333,1.0848877
0.08,0.0,0.0,-94.645088,0.0,0.0,5.6697709,0.0,-3.9936506,1.0848877
0.1,0.0,0.0,-110.5164,0.0,0.0,6.610867,0.0,-4.673511,1.0869632
0.12,0.0,0.0,-122.18323,0.0,0.0,7.3246951,0.0,-5.159183,1.0869632
0.14,0.0,0.0,-110.08562,0.0,0.0,6.5897585,0.0,-4.6509854,1.0891904
0.16,0.0,0.0,-97.139084,0.0,0.0,5.8088061,0.0,-4.1049958,1.0891904
0.18,0.0,0.0,-90.161842,0.0,0.0,5.3436845,0.0,-3.8374088,1.0910951
0.2,0.0,0.0,-91.004845,0.0,0.0,5.3566583,0.0,-3.8956874,1.0910951
0.22,0.0,0.0,-76.019379,0.0,0.0,4.4516834,0.0,-3.2655862,1.0917219
0.24,0.0,0.0,-65.429253,0.0,0.0,3.865692,0.0,-2.7873381,1.0917219
0.26,0.0,0.0,-77.365196,0.0,0.0,4.6139347,0.0,-3.2720086,1.091848
0.28,0.0,0.0,-90.965912,0.0,0.0,5.438883,0.0,-3.8427521,1.091848
0.3,0.0,0.0,-93.668762,0.0,0.0,5.5950222,0.0,-3.9610576,1.0922878
0.32,0.0,0.0,-85.662735,0.0,0.0,5.0888967,0.0,-3.6374459,1.0922878
0.34,0.0,0.0,-66.004219,0.0,0.0,3.8939383,0.0,-2.8143584,1.0910017
0.36,0.0,0.0,-40.276257,0.0,0.0,2.3900387,0.0,-1.7000999,1.0910017
0.38,0.0,0.0,-20.773897,0.0,0.0,1.268166,0.0,-0.84389463,1.0877517
0.4,0.0,0.0,-10.35745,0.0,0.0,0.67058137,0.0,-0.3858991,1.0877517
0.42,0.0,0.0,-7.9035687,0.0,0.0,0.52868434,0.0,-0.27865001,1.0837871
0.44,0.0,0.0,-15.139084,0.0,0.0,0.96046146,0.0,-0.58533569,1.0837871
0.46,0.0,0.0,-20.612518,0.0,0.0,1.2994924,0.0,-0.80994167,1.0796325
0.48,0.0,0.0,-19.116707,0.0,0.0,1.2160522,0.0,-0.74262096,1.0796325
0.5,0.0,0.0,-9.3793182,0.0,0.0,0.6468913,0.0,-0.32080502,1.0766997
0.52,0.0,0.0,0.15424666,0.0,0.0,0.092122503,0.0,0.093285612,1.0766997
0.54,0.0,0.0,10.140256,0.0,0.0,-0.47395884,0.0,0.53682219,1.0744276
0.56,0.0,0.0,11.127645,0.0,0.0,-0.52611147,0.0,0.58352648,1.0744276
0.58,0.0,0.0,6.7164268,0.0,0.0,-0.28212196,0.0,0.38327772,1.0740181
0.6,0.0,0.0,-3.4060144,0.0,0.0,0.28772157,0.0,-0.069151578,1.0740181
0.62,0.0,0.0,-12.561775,0.0,0.0,0.81420954,0.0,-0.47098573,1.0753474
0.64,0.0,0.0,-7.9417391,0.0,0.0,0.5443755,0.0,-0.2707754,1.0753474
0.66,0.0,0.0,0.099947751,0.0,0.0,0.087012612,0.0,0.085658706,1.07487
0.68,0.0,0.0,5.1264849,0.0,0.0,-0.19190089,0.0,0.31347386,1.07487
0.7,0.0,0.0,6.1624994,0.0,0.0,-0.2487325,0.0,0.36095756,1.075032
0.72,0.0,0.0,5.5930352,0.0,0.0,-0.21968883,0.0,0.33316272,1.075032
0.74,0.0,0.0,-9.304944,0.0,0.0,0.62379124,0.0,-0.32959321,1.073784
0.76,0.0,0.0,-26.515575,0.0,0.0,1.6289934,0.0,-1.0753289,1.073784
0.78,0.0,0.0,-34.017963,0.0,0.0,2.0621628,0.0,-1.4040016,1.0726724
0.8,0.0,0.0,-31.366005,0.0,0.0,1.8961572,0.0,-1.2962413,1.0726724
0.82,0.0,0.0,-13.717538,0.0,0.0,0.86860701,0.0,-0.52954754,1.0743392
0.84,0.0,0.0,6.9602494,0.0,0.0,-0.29603997,0.0,0.39439955,1.0743392
0.86,0.0,0.0,12.522209,0.0,0.0,-0.5991005,0.0,0.6502389,1.0786904
0.88,0.0,0.0,10.236125,0.0,0.0,-0.46868792,0.0,0.54935971,1.0786904
0.9,0.0,0.0,8.1589336,0.0,0.0,-0.3553074,0.0,0.45392543,1.0870591
0.92,0.0,0.0,3.8587708,0.0,0.0,-0.11909277,0.0,0.25772363,1.0870591
0.94,0.0,0.0,0.32697958,0.0,0.0,0.075968211,0.0,0.097199018,1.0945984
0.96,0.0,0.0,-10.370977,0.0,0.0,0.69259519,0.0,-0.37147636,1.0945984
0.98,0.0,0.0,-28.185947,0.0,0.0,1.7273424,0.0,-1.1469715,1.1005108
1.0,0.0,0.0,-38.277462,0.0,0.0,2.2991969,0.0,-1.5953766,1.1005108
1.02,0.0,0.0,-38.704769,0.0,0.0,2.3086387,0.0,-1.6238499,1.1040217
1.04,0.0,0.0,-36.282322,0.0,0.0,2.1884826,0.0,-1.5058275,1.1040217
1.06,0.0,0.0,-41.146046,0.0,0.0,2.5216241,0.0,-1.6869938,1.1046903
1.08,0.0,0.0,-48.507042,0.0,0.0,2.9758549,0.0,-1.9912817,1.1046903
1.1,0.0,0.0,-54.618763,0.0,0.0,3.3269846,0.0,-2.2595692,1.1028343
1.12,0.0,0.0,-56.970856,0.0,0.0,3.4311663,0.0,-2.3818327,1.1028343
1.14,0.0,0.0,-48.379757,0.0,0.0,2.883919,0.0,-2.0379069,1.0962579
1.16,0.0,0.0,-32.552059,0.0,0.0,1.9299994,0.0,-1.3717002,1.0962579
1.18,0.0,0.0,-21.433346,0.0,0.0,1.2993125,0.0,-0.87814634,1.0897508
1.2,0.0,0.0,-15.881767,0.0,0.0,1.0093369,0.0,-0.61441,1.0897508
1.22,0.0,0.0,-8.6980724,0.0,0.0,0.61113223,0.0,-0.28914818,1.0830547
1.24,0.0,0.0,-0.21768633,0.0,0.0,0.11966953,0.0,0.080728919,1.0830547
1.26,0.0,0.0,1.7380384,0.0,0.0,-3.8796316e-05,0.0,0.16199225,1.0787876
1.28,0.0,0.0,-0.90082383,0.0,0.0,0.14668781,0.0,0.04284876,1.0787876
1.3,0.0,0.0,-9.4017181,0.0,0.0,0.63511023,0.0,-0.33022913,1.0767061
1.32,0.0,0.0,-18.51133,0.0,0.0,1.1821209,0.0,-0.71564361,1.0767061
1.34,0.0,0.0,-14.867592,0.0,0.0,0.95458428,0.0,-0.56740336,1.077194
1.36,0.0,0.0,-10.121111,0.0,0.0,0.65626804,0.0,-0.37589316,1.077194
1.38,0.0,0.0,-19.462051,0.0,0.0,1.1894053,0.0,-0.78900225,1.0801989
1.4,0.0,0.0,-38.119556,0.0,0.0,2.2976752,0.0,-1.5858026,1.0801989
1.42,0.0,0.0,-51.337105,0.0,0.0,3.0658737,0.0,-2.1606849,1.0863217
1.44,0.0,0.0,-53.139328,0.0,0.0,3.146432,0.0,-2.2536214,1.0863217
1.46,0.0,0.0,-53.615055,0.0,0.0,3.1740829,0.0,-2.2747091,1.0925651
1.48,0.0,0.0,-44.26022,0.0,0.0,2.6328603,0.0,-1.8660027,1.0925651
1.5,0.0,0.0,-27.543589,0.0,0.0,1.6552302,0.0,-1.1428912,1.097051
1.52,0.0,0.0,-14.818131,0.0,0.0,0.91688934,0.0,-0.58869239,1.097051
1.54,0.0,0.0,-7.9048371,0.0,0.0,0.53521992,0.0,-0.27434183,1.0984046
1.56,0.0,0.0,-7.7470613,0.0,0.0,0.53369499,0.0,-0.26224519,1.0984046
1.58,0.0,0.0,-7.3519645,0.0,0.0,0.5010841,0.0,-0.25159742,1.098756
1.6,0.0,0.0,-11.630634,0.0,0.0,0.73886753,0.0,-0.44499804,1.098756
1.62,0.0,0.0,-20.558516,0.0,0.0,1.2545642,0.0,-0.83481297,1.0984794
1.64,0.0,0.0,-25.483404,0.0,0.0,1.5539642,0.0,-1.0401043,1.0984794
1.66,0.0,0.0,-30.773619,0.0,0.0,1.8892602,0.0,-1.2518982,1.0960484
